Data ID,Dosage (g),pH,Initial dye concentration (ppm),Contact time (min),Average qe (mg g-1),Dye volume (mL),Adsorbent dosage:dye volume ratio
39,0.0495,5.57,50.56247081934865,90,22.153937162261908,0.025,1.98
40,0.0492,5.57,50.56247081934865,120,24.30219165626208,0.025,1.968
41,0.049,5.57,50.56247081934865,150,24.379248779244254,0.025,1.96
42,0.0488,5.57,50.56247081934865,180,24.583141804282366,0.025,1.952
43,0.0504,5.15,104.67771347022914,5,19.5872609668561,0.025,2.016
44,0.052,5.15,104.67771347022914,10,27.106665148764577,0.025,2.08
45,0.0496,5.15,104.67771347022914,15,30.429220918168586,0.025,1.984
46,0.0514,5.15,104.67771347022914,20,30.553026751439795,0.025,2.056
47,0.0508,5.15,104.67771347022914,25,34.74214275304702,0.025,2.032
48,0.0489,5.15,104.67771347022914,30,37.142531897918666,0.025,1.956
49,0.051,5.15,104.67771347022914,60,44.01366332450509,0.025,2.04
50,0.0505,5.15,104.67771347022914,90,45.46403264761583,0.025,2.02
51,0.0495,5.15,104.67771347022914,120,46.37315480625294,0.025,1.98
52,0.05,5.15,104.67771347022914,150,47.17222971008747,0.025,2.0
53,0.0495,5.15,104.67771347022914,180,48.17593733791309,0.025,1.98
54,0.05,5.15,104.67771347022914,5,19.802540588634308,0.025,2.0
55,0.0523,5.15,104.67771347022914,10,26.99160245723255,0.025,2.092
56,0.0495,5.15,104.67771347022914,15,30.49069409174064,0.025,1.98
57,0.0499,5.15,104.67771347022914,20,32.574817791012485,0.025,1.996
58,0.0518,5.15,104.67771347022914,25,34.071445016501706,0.025,2.072
59,0.049,5.15,104.67771347022914,30,36.95751405030947,0.025,1.96
60,0.0505,5.15,104.67771347022914,60,44.153111101168,0.025,2.02
61,0.051,5.15,104.67771347022914,90,45.01107374951355,0.025,2.04
62,0.0493,5.15,104.67771347022914,120,46.55480380283133,0.025,1.972
63,0.0505,5.15,104.67771347022914,150,46.62548035506,0.025,2.02
64,0.049,5.15,104.67771347022914,180,48.71977729488688,0.025,1.96
65,0.0411,5.6,52.35359797715611,120,22.631438060950373,0.02,2.055
66,0.0403,5.1,104.9305950793106,120,47.38496666083183,0.02,2.015
67,0.041,5.15,220.55324085136704,120,72.53864597593454,0.02,2.05
68,0.0415,5.4,367.8126262648205,120,86.29937940848902,0.02,2.075
69,0.0409,6.67,457.2374452037833,120,80.82223210278478,0.02,2.045
70,0.0418,6.83,570.1882513435662,120,77.1238541829697,0.02,2.09
71,0.0408,5.6,52.35359797715611,120,22.800614308833133,0.02,2.04
72,0.0402,5.1,104.9305950793106,120,47.49884095473815,0.02,2.01
73,0.0408,5.15,220.55324085136704,120,73.03776961732032,0.02,2.04
74,0.0411,5.4,367.8126262648205,120,88.58747470316713,0.02,2.055
75,0.0405,6.67,457.2374452037833,120,84.03628628012531,0.02,2.025
76,0.041,6.83,570.1882513435662,120,80.34323579786006,0.02,2.05
77,0.0501,5.15,206.4496901047725,5,12.705559287639684,0.025,2.004
78,0.0508,5.15,206.4496901047725,10,22.831760324985176,0.025,2.032
79,0.0504,5.15,206.4496901047725,15,29.83335415350784,0.025,2.016
80,0.05,5.15,206.4496901047725,23,36.41594826097072,0.025,2.0
81,0.0504,5.15,206.4496901047725,30,40.38163325001245,0.025,2.016
82,0.0499,5.15,206.4496901047725,35,41.83714463214132,0.025,1.996
83,0.0497,5.15,206.4496901047725,60,50.6580650101647,0.025,1.988
84,0.05,5.15,206.4496901047725,90,58.53886070031026,0.025,2.0
85,0.0499,5.15,206.4496901047725,120,62.19192742559046,0.025,1.996
86,0.0496,5.15,206.4496901047725,150,64.6552681668606,0.025,1.984
87,0.0495,5.15,206.4496901047725,180,66.01704864034457,0.025,1.98
88,0.0508,5.15,206.4496901047725,5,13.805039552158313,0.025,2.032
89,0.0504,5.15,206.4496901047725,10,26.762058527758867,0.025,2.016
90,0.05,5.15,206.4496901047725,15,31.885098081666797,0.025,2.0
91,0.049,5.15,206.4496901047725,23,37.248250521709515,0.025,1.96
92,0.05,5.15,206.4496901047725,30,42.37957155919565,0.025,2.0
93,0.05,5.15,206.4496901047725,35,43.83519239760561,0.025,2.0
94,0.0499,5.15,206.4496901047725,60,51.1691379137649,0.025,1.996
95,0.0501,5.15,206.4496901047725,90,55.68337229162074,0.025,2.004
96,0.05,5.15,206.4496901047725,120,65.10886984400445,0.025,2.0
97,0.0502,5.15,206.4496901047725,150,65.57878725345157,0.025,2.008
98,0.0501,5.15,206.4496901047725,180,65.42557603579336,0.025,2.004
